Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),MAIN_OFFICE_ZONE:Zone Mean Air Temperature [C](TimeStep),MAIN_OFFICE_ZONE:Zone Air Relative Humidity [%](TimeStep),MAIN_OFFICE IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),MAIN_OFFICE IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),OFFICE OCCUPANTS:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 07/01  00:15:00,13.150000000000002,21.000000000000004,90.33732591547988,862620.2110456093,0.0,-0.6889257441947935 
 07/01  00:30:00,13.5,21.0,90.38184899383755,854624.6561529933,0.0,-0.6873533315425591 
 07/01  00:45:00,13.849999999999998,21.0,90.42637207216022,846918.2776535488,0.0,-0.6858154227668136 
 07/01  01:00:00,14.2,20.999999999999996,90.47090045394309,838974.8302032505,0.0,-0.6841969971747448 
 07/01  01:15:00,13.95,20.999999999999996,90.47090045393942,844764.9832971246,0.0,-0.6859141853075827 
 07/01  01:30:00,13.7,21.0,90.47089515047158,853412.8407178143,0.0,-0.6872469982449425 
 07/01  01:45:00,13.45,20.999999999999996,90.47090045393816,861817.1413181131,1.0231815394945443e-10,-0.6886598238461354 
 07/01  02:00:00,13.2,20.999999999999993,90.47090045393833,870440.1923045522,0.0,-0.6900957179070624 
 07/01  02:15:00,12.924999999999999,21.000000000000004,90.44863361131078,880133.9109725384,2.0463630789890885e-10,-0.6918862344515816 
 07/01  02:30:00,12.649999999999999,21.0,90.42637207214977,890196.5544217251,2.0463630789890885e-10,-0.6936798445901389 
 07/01  02:45:00,12.375,21.0,90.40411053298874,900367.4614504775,1.0231815394945443e-10,-0.6954933232103405 
 07/01  03:00:00,12.1,21.0,90.38184899382769,910650.7877290947,1.0231815394945443e-10,-0.697320737957014 
 07/01  03:15:00,11.85,20.999999999999996,90.38185429207442,919844.4964130665,2.0463630789890885e-10,-0.6987765395433309 
 07/01  03:30:00,11.6,21.000000000000004,90.38184899382772,928801.9896657119,0.0,-0.7002584940171386 
 07/01  03:45:00,11.35,21.000000000000004,90.38184899382773,937815.8895320899,0.0,-0.7017387828289275 
 07/01  04:00:00,11.1,21.000000000000004,90.38184899382775,946854.2827078239,2.0463630789890885e-10,-0.7032199351115457 
 07/01  04:15:00,11.274999999999999,21.000000000000004,90.38184899382776,944714.2703751321,0.0,-0.7023095757661922 
 07/01  04:30:00,11.45,20.999999999999996,90.38185429207448,939537.2950408505,4.092726157978177e-10,-0.7015316102732281 
 07/01  04:45:00,11.625000000000002,21.000000000000004,90.3818489938278,934379.9297344871,0.0,-0.7006990916384274 
 07/01  05:00:00,11.8,20.999999999999996,90.38185429207452,882664.7935401177,3.069544618483633e-10,-0.6898077571935275 
 07/01  05:15:00,12.000000000000002,20.999999999999996,90.38185429207454,849670.5492403297,5.115907697472721e-10,-0.6859711017872532 
 07/01  05:30:00,12.2,20.999999999999996,90.38185429207452,823624.4647197567,1.0231815394945443e-10,-0.6813686267702131 
