Date_Time,Hour,Outdoor_Temp_C,Baseline_Zone_Temp_C,Baseline_PMV,Baseline_HVAC_kWh,AI_Zone_Temp_C,AI_PMV,AI_HVAC_kWh,Grid_Carbon_gCO2_kWh,Tariff_USD_kWh,AI_Strategy
07/01  00:15:00,0.25,13.15,21.0,-0.689,0.2396,21.0,0.448,0.2037,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  00:30:00,0.5,13.5,21.0,-0.687,0.2374,21.0,0.448,0.2018,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  00:45:00,0.75,13.85,21.0,-0.686,0.2353,21.0,0.448,0.2,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  01:00:00,1.0,14.2,21.0,-0.684,0.233,21.0,0.448,0.1981,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  01:15:00,1.25,13.95,21.0,-0.686,0.2347,21.0,0.448,0.1995,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  01:30:00,1.5,13.7,21.0,-0.687,0.2371,21.0,0.448,0.2015,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  01:45:00,1.75,13.45,21.0,-0.689,0.2394,21.0,0.448,0.2035,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  02:00:00,2.0,13.2,21.0,-0.69,0.2418,21.0,0.448,0.2055,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  02:15:00,2.25,12.93,21.0,-0.692,0.2445,21.0,0.448,0.2078,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  02:30:00,2.5,12.65,21.0,-0.694,0.2473,21.0,0.448,0.2102,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  02:45:00,2.75,12.38,21.0,-0.695,0.2501,21.0,0.448,0.2126,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  03:00:00,3.0,12.1,21.0,-0.697,0.253,21.0,0.448,0.215,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  03:15:00,3.25,11.85,21.0,-0.699,0.2555,21.0,0.448,0.2172,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  03:30:00,3.5,11.6,21.0,-0.7,0.258,21.0,0.448,0.2193,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  03:45:00,3.75,11.35,21.0,-0.702,0.2605,21.0,0.448,0.2214,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  04:00:00,4.0,11.1,21.0,-0.703,0.263,21.0,0.448,0.2235,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  04:15:00,4.25,11.28,21.0,-0.702,0.2624,21.0,0.448,0.223,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  04:30:00,4.5,11.45,21.0,-0.702,0.261,21.0,0.448,0.2218,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  04:45:00,4.75,11.63,21.0,-0.701,0.2595,21.0,0.448,0.2206,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  05:00:00,5.0,11.8,21.0,-0.69,0.2452,21.0,0.448,0.2084,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  05:15:00,5.25,12.0,21.0,-0.686,0.236,21.0,0.448,0.2006,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  05:30:00,5.5,12.2,21.0,-0.681,0.2288,21.0,0.448,0.1945,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  05:45:00,5.75,12.4,21.0,-0.668,0.2111,21.0,0.448,0.1794,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  06:00:00,6.0,12.6,21.0,-0.658,0.1939,21.0,0.448,0.1648,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  06:15:00,6.25,12.78,21.0,-0.644,0.1742,21.0,0.448,0.1481,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  06:30:00,6.5,12.95,21.0,-0.632,0.1572,21.0,0.448,0.1336,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  06:45:00,6.75,13.13,21.0,-0.623,0.1443,21.0,0.448,0.1227,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  07:00:00,7.0,13.3,21.0,-0.613,0.1323,21.0,0.448,0.1125,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  07:15:00,7.25,13.72,21.8,-0.449,0.0,21.8,0.448,0.0,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  07:30:00,7.5,14.15,22.49,-0.298,0.0,22.49,0.448,0.0,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  07:45:00,7.75,14.57,23.0,-0.197,0.0,23.0,0.448,0.0,350.0,0.12,COMFORT_OPTIMAL_DEADBAND
07/01  08:00:00,8.0,15.0,23.38,-0.12,0.0,23.38,0.448,0.0,350.0,0.22,COMFORT_OPTIMAL_DEADBAND
07/01  08:15:00,8.25,15.4,23.9,-0.014,0.1495,23.9,0.448,0.1271,350.0,0.22,COMFORT_OPTIMAL_DEADBAND
07/01  08:30:00,8.5,15.8,24.0,0.028,0.3241,24.0,0.448,0.2755,350.0,0.22,COMFORT_OPTIMAL_DEADBAND
07/01  08:45:00,8.75,16.2,24.0,0.032,0.288,24.0,0.448,0.2448,350.0,0.22,COMFORT_OPTIMAL_DEADBAND
07/01  09:00:00,9.0,16.6,24.0,0.035,0.3139,24.0,0.448,0.2668,350.0,0.22,COMFORT_OPTIMAL_DEADBAND
07/01  09:15:00,9.25,17.03,24.0,0.036,0.3385,24.0,0.448,0.2877,350.0,0.22,COMFORT_OPTIMAL_DEADBAND
